HotelName,HotelDescription,PriceRange
Granada Luxury Belek,"Situated in Belek in the Mediterranean Region, 2 km from Troy Aqua and Dolphinarium, Granada Luxury Belek boasts an outdoor pool and an indoor pool. Guests can relax at the hotel's spa centre as well. Free private parking is available and WiFi is provided throughout the property. All air-conditioned rooms at Granada Luxury Belek feature a TV, safety box and a minibar. You can enjoy the refreshing Mediterranean air at the balcony. A private bathroom with a shower is also fitted for your comfort. Granada Luxury Belek offers variety of dining alternatives. An on-site à la carte restaurant is available along with the restaurant serves in buffet style. You can sip your refreshing drinks at the bar. A snack bar is also offered. Featuring a spa centre, Granada Luxury Belek provides you with a hammam, sauna and a fitness centre. You can also treat yourself with a massage. You can play tennis, table tennis and dart. Friendly-staff organises evening entertainment for guests and special activities for children at the kid's club. The nearest airport is Antalya Airport, 34 km from the property. Car hire is offered and airport shuttle can be arranged upon request at a surcharge.",EUR 135 - EUR 270
Aspen,"The Aspen Hotel is situated in the Kaleici district, the quiet and beautiful old town of Antalya that has a past of over 2000 years. The Aspen Hotel comprises 3 Ottoman mansions now fully restored, and is an example of the architectural style of the 'Kaleici'. The hotel is situated 200 m from the Mermerli Beach and the Yacht Harbour and 15 km from the airport. The guestrooms are equipped with complete bathroom (shower or bath), air conditioning, TV, telephone, mini bar, radio and hairdryer. Some rooms have views over the KaleiÃ§i - Marina (The old harbour) and Toros Mountains. This small, friendly hotel has a restaurant, bar and cafeteria, room service (limited hours), a central courtyard with a small swimming pool and a number of orange trees, sauna, safety deposit boxes to rent, dry cleaning service, conference room and parking. ** Please note that some of the above facilities may be closed due to weather / seasonal conditions.** Address: KiliÃ§arslan Mah. Mermerli Sok, KaleiÃ§i, 07200 Antalya, Turkey. Situated in the quiet and beautiful old town of Antalya.",EUR 52 - EUR 104
Renovated Flat - Athens Perfect Location,"Property Location With a stay at this apartment in Athens (Neos Kosmos), you'll be within a 5-minute drive of Acropolis Museum and Acropolis. This apartment is 2.4 mi (3.9 km) fromNonrefundable",EUR 28 - EUR 56
Siracusa,,EUR 0 - EUR 0
Europa 92,"Property Location A stay at Hotel Europa 92 places you in the heart of Amsterdam, walking distance from Vondelpark and DeLaMar Theater. This hotel is within close proximity of Holland Casino and Melkweg.Rooms Make yourself at home in one of the 47 guestrooms. Complimentary wired and wireless Internet access keeps you connected, and pay movies provides entertainment. Conveniences include safes and desks, and housekeeping is provided daily.Rec, Spa, Premium Amenities Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access. Additional amenities include concierge services, a television in the lobby, and tour/ticket assistance.Dining Satisfy your appetite at a coffee shop/café serving guests of Hotel Europa 92. Quench your thirst with your favorite drink at a bar/lounge. Continental breakfasts are available daily for a fee.Business, Other Amenities Featured amenities include complimentary high-speed (wired) Internet access, a 24-hour front desk, and multilingual staff. A roundtrip airport shuttle is available for a surcharge.",EUR 162 - EUR 325
TOPOLA SKIES,"Topola Skies complex combines luxury and nature. The golfers can experience exciting adventures at the golf courses nearby.The complex offers spacious and fully furnished apartments with Wi-Fi internet access and extraordinary views. The board is All Inclusive. The restaurant with unique terrace, facing toward the beautiful view of the sea, offers cozy atmosphere and exquisite choice of the menu.The guests have at their disposal two heated and perfectly clean pools, wellness and relaxation centre and unique spa center, recreating an authentic Bulgarian atmosphere. Experienced animators will take care of the kids while you are enjoying a massage, doing exercises, indulging in a romantic dinner or just lounging by the pool.",EUR 108 - EUR 217
Warm And Cozy Apartment In Athens,"EPS Location 1 and 2 With a stay at this apartment in Athens (Athens City Centre), you'll be a 3-minute walk from National Archaeological Museum of Athens and 9 minutes by foot from",EUR 35 - EUR 70
Paganini,"Property Desc:Property Location With a stay at Aston City Hotel, you`ll be centrally located in Amsterdam, steps from Heineken Experience and 6 minutes by foot from Rijksmuseum. This hotel is 0.5 mi (0.7 km) from Van Gogh Museum and 0.5 mi (0.8 km) from Stedelijk Museum.Rooms Stay in one of 24 guestrooms featuring flat-screen televisions. Cable television is provided for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Housekeeping is provided once per stay, and irons/ironing boards can be requested.Amenities Enjoy recreation amenities such as bicycles to rent or take in the view from a garden. Additional amenities at this hotel include complimentary wireless Internet access and tour/ticket assistance.Dining Buffet breakfasts are available daily from 7 AM to 10 AM for a fee.Room Info:National Rating This property does not have a Netherlands Tourist Board rating. For the benefit of our customers, we have provided a rating based on our rating system.Know Before You Go This property`s policy is to refuse certain bookings for the purpose of group events or parties, including pre-wedding stag/bachelor and hen/bachelorette parties. Some facilities may have restricted access. Guests can contact the property for details using the contact information on the booking",EUR 30 - EUR 60
Novotel,"'This family-friendly city hotel enjoys a prime setting close to the shopping and entertainment district in Balikpapan. Business and leisure guests alike will appreciate the hotel's strategic location which is a mere 15 minutes' drive from the airport. Guests are invited into the spacious, elegantly-designed lobby where they will be met by the utmost in warm hospitality, attention and care. The luxurious guest rooms are spacious and bright offering the ultimate in comfort and convenience. While business guests will appreciate the array of well-equipped meeting and conference rooms and state-of-the-art facilities. Guests looking for a more relaxed experience will be impressed by the hotel's exceptional amenities, including a Spa, sauna and pool. The hotel also provides a restaurant where guests can relax and unwind in elegant surroundings and sample the delights the menu has to offer.'",EUR 42 - EUR 84
The Student Hotel Amsterdam West,"EPS Location 1 and 2 With a stay at The Student Hotel Amsterdam West in Amsterdam (Slotervaart), you'll be within a 10-minute drive of Vondelpark and Anne Frank House. This hotel isNonrefundable",EUR 66 - EUR 132
Cal Ruiz,,EUR 0 - EUR 0
SÖnmez Garden,"Set in Antalya, within 550 metres of Beldibi Beach and 22 km of 5M Migros, Sönmez Garden Hotel offers accommodation with a restaurant and a garden, and free WiFi. The property is located 23 km from Antalya Aquarium, 24 km from Antalya Museum and 26 km from Old City Marina. The hotel has family rooms. All units in the hotel are fitted with a TV. All guest rooms at Sönmez Garden Hotel feature air conditioning and a wardrobe. A buffet breakfast is available every morning at the accommodation. Antalya Aqualand is 26 km from Sönmez Garden Hotel, while Hadrian's Gate is 27 km from the property. The nearest airport is Antalya Airport, 42 km from the hotel.WiFi is available in public areas and is free of charge. Free public parking is possible on site (reservation is not needed). Pets are not allowed. All children are welcome. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 4. There is no capacity for cots in the room.",EUR 19 - EUR 38
Alfa,,EUR 0 - EUR 0
Turka Loca Apart Hotel,Near S'hemall Shopping Center,EUR 14 - EUR 29
Casa Ferica,"LocationThis hotel is located in Azuga.FacilitiesThe hotel offers a laundry service. Wireless internet access allows guests to stay connected while on holiday. A garden provides extra space for rest and relaxation in the open air. Guests arriving by car can park their vehicles in the car park.RoomsA number of amenities provide extra comfort during a stay at the hotel. A balcony is included as standard in some rooms. WiFi (no extra charge) ensures additional comfort. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971",EUR 238 - EUR 477
Epidavros,"With a stay at Epidavros Hotel, you'll be centrally located in Athens, just a 4-minute walk from Omonia Square and 15 minutes by foot from Syntagma Square. This hotel is 0.6 mi (0.9 km) from Monastiraki Flea Market and 0.5 mi (0.9 km) from National Archaeological Museum of Athens.",EUR 26 - EUR 53
Vila Steaua Nordului,"The Vila Steaua Nordului is situated in a quiet neighbourhood, 1.5 km from the historical centre. The property features both an outdoor and an indoor swimming pool. On-site wellness facilities include a sauna. WiFi is available free of charge. Each of the en-suite rooms at the Steaua Nordului is equipped with its own private balcony. Guests can relax next to the cosy fireplace in the common lounge. The hotel restaurant serves traditional regional dishes as well as international cuisine. Popular nearby attractions include the historic Alba Iulia Citadel, 2 km from the house. The Unirea Stadium lies 300 metres away, and there is an Olympic swimming pool 100 metres away.WiFi is available in all areas and is free of charge. Free private parking is possible on site (reservation is not needed). Pets are not allowed. All children are welcome. Up to two children under 6 years stay free of charge when using existing beds. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 4. There is no capacity for cots in the room.",EUR 32 - EUR 65
